codigo;descricao;tipo;unidade;status;custo_padrao;estoque_atual;estoque_seguranca;lote_minimo;lead_time_dias;codigo_legado;referencia_legado;unidade_sugerida;revisar;motivo_revisao
MP-001;BOB KPO 40.5X26X10X0.29 CCAW+BERILIO - AF 6X9 280 STEEL;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;1;BOB KPO 40.5X26X10X0.29 CCAW+BERILIO;;NAO;
MP-002;ATIVADOR CB-10A 1LT;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;2;AT-CB-10A 1LT;LT;SIM;Unidade: produto liquido comprado em litro cadastrado como UN
MP-003;ATIVADOR CB10H 20ML;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;3;AT-CB-10A 20ML;ML;SIM;Unidade: produto liquido de 20ML cadastrado como UN
MP-004;ATIVADOR LOCTITE;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;4;AT - SF 7453 BO1L;LT;SIM;Unidade: frasco de 1L cadastrado como UN
MP-005;B-01 - BERCO 6" 350;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;5;B-01;;NAO;
MP-006;B-02 - BERCO 6X9 350;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;6;B-02;;NAO;
MP-007;B-03 - BERCO 8" 8MB300X;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;7;B-03;;NAO;
MP-008;B-04 - BERCO AF 6" MB230X, WF200;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;8;B-04;;NAO;
MP-009;B-05 - BERCO AF 6" MB300;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;9;B-05;;NAO;
MP-010;B-06 - BERCO CX 6X9;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;10;B-06;;NAO;
MP-011;B-07 - BERCO REDONDO CX SUB 10" 1000;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;11;B-07;;NAO;
MP-012;TERMINAL FIBRA VIDRO COD. 0489/02 COM ILHOS (2614019);MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;12;TERM. 2614019;;SIM;Descricao no legado terminava com aspas soltas ('''') - removidas
MP-013;TERMINAL FIBRA DE VIDRO (COD. 261.4080) LINHA 350;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;13;TERM. 2614080;;NAO;
MP-014;TERMINAL FIBRA DE VIDRO (COD. 0483PI) 2614017;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;14;TERM. 2614017;;NAO;
MP-015;PROTETOR EVK.P-005 ROSE FOSCO 12SW1000;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;15;P-EVK-005 ROSE;;NAO;
MP-016;B-08 - BERCO REDONDO CX 12";MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;16;B-08;;NAO;
MP-017;PROTETOR EVK.P-004 PRATA / SUB 10" 1000;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;17;P-EVK-004-PRATA;;NAO;
MP-018;B-09 - BERCO REDONDO CX 15";MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;18;B-09;;NAO;
MP-019;B-10 - BERCO REPARO 10" 1000;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;19;B-10;;NAO;
MP-020;B-11 - BERCO REPARO CX 12";MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;20;B-11;;NAO;
MP-021;PROTETOR EVK.P-003 (SUB 600);MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;21;P-EVK-003;;NAO;
MP-022;B-12 - BERCO REPARO CX 6";MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;22;B-12;;NAO;
MP-023;B-13 - BERCO REPARO CX 6X9;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;23;B-13;;NAO;
MP-024;PROTETOR EVK.P-002 ROSE FOSCO 12S1000;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;24;P-EVK-002 ROSE;;NAO;
MP-025;B-14 - BERCO REPARO CX 8";MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;25;B-14;;NAO;
MP-026;PROTETOR EVK.P-002 PRATA (SUB 1500);MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;26;P-EVK-002 - PRATA;;NAO;
MP-027;B-15 - BERCO REPARO TWETTER ST400;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;27;B-15;;NAO;
